8chich,هشيش
lboudia,لبوديا
daoud,داود
nou7,نوح
taTwwor,تاطوور
jaza2,جازاأ
Salib,صاليب
T8ara,طهارا
khtana,ختانا
SSa7aba,صحابا
fi98,فيقه
chari3a,شاريعا
ftwa,فتوا
khayr,خاير
charr,شار
9or2an,قورأان
mo9ddas,موقداس
9ods,قودس
rou7,روح
rou7ania,روحانيا
9iama,قياما
janaza,جانازا
dbn,دبن
Sob7,صوبح
Do8r,ضوهر
l3aSr,لعاصر
lmghrb,لمغرب
l3cha,لعشا
zawia,زاويا
injil,ينجيل
masi7,ماسيح
allah,الاح
rassoul,راسول
mslm,مسلم
sonni,سوني
chi3i,شيعي
mol7id,مولحيد
il7ad,يلحاد
Sm3a,صمعا
adan,ادان
7lal,حلال
7ram,حرام
mo3jiza,موعجيزا
,
t3nfij,تعنفيج
trbziT,تربزيط
twichia,تويشيا
l3iba,لعيبة
l3amala,لعمالة
tbl7is,تبلحيس
Tnz,طنز
z3fan,زعفان
ka3i,كاعي
l8imri,لهيمري
m9rach,مقراش
3zzi,عزي
Tbbouzi,طبوزي
tkhrbi9,تخربيق
3zwa,عزوا
law3lm,لاوعلم
brbbi,بربي
awdi,اودي
bz9oul,بزقول
chwikkik,شوكيك
T8lla,طهلا
3rram,عرام
ewa,إوا
fchkl,فشكل
gharib,غريب
tfrnisa,تفرنيسا
bz9oul,بزقول
br8och,برهوش
tbznisa,تبزنيسا
t8jaj,تهجاج
9oz9oza7,قوس قوزاح
Saa7a,صحة
mwrre9,مورق
naDi,ناضي
8nnina,هنينا
fog chchb3a,فوڭ ششبعا
dyal lmchkhara,ديال لمشخارا
chchann TTann,شان طان
ml3ouba,ملعوبا
n7ila,نحيلا
8rrbo lia,هربو ليا
Dbber 3la,ضبر علا
khrrej 3inih,خرج عينيح
jb8a,جبها
snTi7a,سنطيحا
mrigl,مريڭل
blan,بلان
wakwakk,واكواك
makat9chcherch,مكتقشرش
khdama lia,خدامة ليا
flous,فلوس
l3a9a,لعاقة
stitmar,ستتمار
raslmal,راس لمال
ttaman,ثمن
Talab,طلب
kra,كرا
salaf,سلف
9rD,قرض
kridi,كريدي
9tiSad,قتصاد
byya3,بياع
chrray,شراي
lbi3,لبيع
chchra,شرا
sou9,سوق
charika,شريكة
dr8m,درهم
jma3a,جماعة
tti7ad,تيحاد
7tikar,حتيكار
7tiyaT,حتيياط
khdma,خدما
3omla,عوملا
rrb7,ربح
kriz,كريز
stachr,ستاشر
sti9rar,ستيقرار
sti8lak,ستيهلاك
iSla7,يصلاح
sa2i7,ساأيح
biznis,بيزنيس
tijara,تيجارا
fayit,فاييت
dawli,داولي
3alami,عالامي
D3if,ضعيف
fa9ir,فاقير
mntouj,منتوج
brnamaj,برناماج
banka,بانكا
borSa,بورصا
lasorans,لاسورانس
tkhzin,تخزين
tkhTiT,تخطيط
lma3icha,لمعيشة
Dariba,ضريبة
srbis,سربيس
blan,بلان
da3m,داعم
ch8ria,شهريا
bznas,بزناس
faktoura,فاكتورا
mizania,ميزانيا
Sina3a,صيناعا
SSayd,صايد
l9iTa3 lkhaS,لقيطاع لخاص
l9iTa3 l3amm,لقيطاع لعام
tmwil,تمويل
3amal,عامال
sti9ala,ستيقالا
ta9a3od,تاقاعود
mdkhoul,مدخول
mchro3,مشروع
tterwa,تروا
Talab,طالاب
,
oustad,وستاد
tlmid,تلميد
moudir,مودير
3amid,عاميد
sbbora,سبورا
Tabachir,طاباشير
fizik,فيزيك
tarikh,تاريخ
ryaDiat,رياضيات
ryaDa,رياضا
joghrafia,جوغرافيا
drs,درس
mti7an,متيحان
ktab,كتاب
dftar,دفتار
btida2i,بتيداأي
t3lim,تعليم
mdrasa,مدرسة
9ism,قيسم
lafak,لافاك
i3dadi,يعدادي
tanawi,تاناوي
jami3a,جاميعا
idara,يدارا
Tawila,طاويلا
flsafa,فلسافا
mawad,ماواد
3ilm,عيلم
logha,لوغا
adab,اداب
3oloum,عولوم
ktba,كتبا
jabr,جابر
8ndasa,هنداسا
l7sab,لحساب
chimi,شيمي
stilo,ستيلو
misTara,ميسطارا
chkara,شكارا
9alam,قالام
mim7at,ميمحات
3oTla,عوطلا
ta9afa,تاقافا
7iSSa,حيصا
Sf7a,صفحا
wr9a,ورقا
b7t,بحت
sou2al,سوأال
jawab,جاواب
fikra,فيكرا
7sab,حساب
Tol,طول
3rD,عرض
rtifa3,رتيفاع
3lo,علو
moDo3,موضوع
da2ira,داأيرا
7rf,حرف
klma,كلما
jomla,جوملا
faSila,فاصيلا
tjriba,تجريبا
kotla,كوتلا
7ajm,حاجم
khaTa2,خاطاأ
Sa7i7,صاحيح
m9S,مقص
rawD,راوض
takhSSoS,تخصص
ni9ach,نيقاش
t7lil,تحليل
tmrin,تمرين
min7a,مينحا
ghyab,غياب
7oDor,حوضور
za2id,زاأيد
na9iS,ناقيص
mDroub,مضروب
m9soum,مقسوم
mo3adala,موعادالا
kasr,كاسر
chakl,شاكل
zawyya,زاويا
Tibb,طيب
7aDana,حاضانا
ddirasat l3olya,ديراسات لعوليا
ma38ad,ماعهاد
bac,باك
,
t3li9,تعليق
tlfaza,تلفازا
tilifon,تيليفون
kabl,كابل
charjour,شارجور
intirnit,ينتيرنيت
odiyo,ودييو
fisbok,فيسبوك
chacha,شاشا
lizyat,ليزيات
lizikottour,ليزيكوتور
matiryal,ماتيريال
bla slk,بلا سلك
slk,سلك
batri,باتري
boton,بوتون
tilicomand,تيليكوماند
,
3a2ila,عاأيلا
bnti,بنتي
wldi,ولدي
lwalid,لواليد
lwalida,لواليدا
baba,بابا
mama,ماما
khouya,خويا
khti,ختي
3mi,عمي
3mti,عمتي
khali,خالي
khalti,خالتي
kouzan,كوزان
wld 3mi,ولد عمي
wld 3mti,ولد عمتي
wld khali,ولد خالي
wld khalti,ولد خالتي
bnt 3mi,بنت عمي
bnt 3mti,بنت عمتي
bnt khali,بنت خالي
bnt khalti,بنت خالتي
zawja,زاوجا
lmra,لمرا
zawj,زاوج
rrajl,راجل
mjwwj,مجوج
mjwwja,مجوجا
3zri,عزري
ddrari,دراري
khout,خوت
khwatat,خواتات
walidin,واليدين
khwal,خوال
3mam,عمام
7fid,حفيد
jdd,جد
jdda,جدا
nsab,نساب
,
tania,تانيا
d9i9a,دقيقا
sa3a,ساعا
yawm,ياوم
lbar7,لبارح
daba,دابا
lyom,ليوم
ghdda,غدا
wellbar7,ولبارح
b3d ghdda,بعد غدا
simana,سيمانا
ch8r,شهر
3am,عام
9rn,قرن
tnin,تنين
tlat,تلات
larb3,لاربع
lkhmis,لخميس
jm3a,جمعا
sbt,سبت
l7d,لحد
wikand,ويكاند
yanayir,يانايير
fibrayr,فيبراير
mars,مارس
abril,ابريل
may,ماي
yonyo,يونيو
yolyoz,يوليوز
ghocht,غوشت
chotanbir,شوتانبير
oktoubr,وكتوبر
nowanbir,نووانبير
dojanbir,دوجانبير
w9t,وقت
7aDir,حاضير
most9bal,موستقبال
maDi,ماضي
llarob,لاروب
o 9sem,و قسم
o 9smayn,و قسماين
o rb3,و ربع
o ness,و نس
o sb3 9sam,و سبع قسام
9ll toulout,قل تولوت
9ll 9smayn,قل قسماين
9ll 9sm,قل قسم
mn,من
lil,ليل
Sba7,صباح
3chia,عشيا
wst nhar,وست نحار
maw3id,ماوعيد
ftra,فترا
magana,ماڭانا
dima,ديما
3adatan,عاداتان
naadiran,ناديران
monasaba,موناسابا
khDra,خضرا
bsla,بسلا
maticha,ماتيشا
jelbana,جلبانا
dnjal,دنجال
gar3a,ڭارعا
mkowwr,مكوور
btata,بتاتا
khyar,خيار
khizo,خيزو
touma,توما
chiflour,شيفلور
9o9,قوق
khrchouf,خرشوف
flfla,فلفلا
fjl,فجل
loubia,لوبيا
bsbas,بسباس
khoss,خوس
lft,لفت
kbal,كبال
9zbour,قزبور
m3dnous,معدنوس
zitoun,زيتون
barba,باربا
krafS,كرافص
kourjiT,كورجيط
khDra,خضرا
dissir,ديسير
tfa7,تفاح
bou3ouid,بوعويد
friz,فريز
3nb,عنب
krmous,كرموس
limoun,ليمون
7amd,حامد
rman,رمان
dla7,دلاح
khoukh,خوخ
kiwi,كيوي
7blmlouk,حبلملوك
ananas,اناناس
mnoun,منون
swi8la,سويهلا
banan,بانان
mchmach,مشماش
mang,مانڭ
mandarine,ماندارين
tmr,تمر
br9o9,برقوق
makla,ماكلا
3ds,عدس
loubia,لوبيا
nbg,نبڭ
blloT,بلوط
llouz,لوز
n3na3,نعناع
zbib,زبيب
biD,بيض
biDa,بيضا
zbda,زبدا
khbz,خبز
mska,مسكا
skkar,سكار
ml7a,ملحا
zit,زيت
7mmS,حمص
7rira,حريرا
chlaDa,شلاضا
l7m,لحم
khmira,خميرا
3jina,عجينا
frmaj,فرماج
ch3ria,شعريا
disir,ديسير
laglas,لاڭلاس
kika,كيكا
3Tria,عطريا
gm7,ڭمح
dgig,دڭيڭ
ch3ir,شعير
9rfa,قرفا
kmmon,كمون
9ronfl,قرونفل
z3fran,زعفران
z3tr,زعتر
chrab,شراب
chchrab,ششراب
birra,بيرا
atay,اتاي
7lib,حليب
3aSir,عاصير
fTor,فطور
ghda,غدا
3cha,عشا
ma9adir,ماقادير
jo3,جوع
3Tch,عطش
rijim,ريجيم
cha8ia,شاهيا
mchwi,مشوي
m9li,مقلي
m7mmr,محمر
mgrml,مڭرمل
khDr,خضر
bnin,بنين
nachf,ناشف
7lo,حلو
7arr,حار
marr,مر
7amD,حامض
m7roug,محروڭ
lkhell,لخل
bTaTa frit,بطاطا فريت
s99aTa,سقاطا
Tajin,طاجين
Tanjia,طانجيا
bsTila,بسطيلا
m7nncha,محنشا
,
sidna,سيدنا
berlaman,برلامان
wzir,وزير
l7okoma,لحوكوما
t3nfij,تعنفيج
trbziT,تربزيط
twichia,تويشيا
l3iba,لعيبا
l3amala,لعامالا
tbl7is,تبلحيس
Tnz,طنز
z3fan,زعفان
ka3i,كاعي
l8imri,لهيمري
m9rach,مقراش
3zzi,عزي
b7alma8okdaya,بحالماهوكدايا
Tbbouzi,طبوزي
tkhrbi9,تخربيق
3zwa,عزوا
kbchlaba9ich,كبشلاباقيش
law3lm,لاوعلم
lay3miha lik,لايعميحا ليك
brbbi,بربي
awdi,اودي
awdi,اودي
bz9oul,بزقول
chwikkik,شويكيك
T8lla,طهلا
3rram,عرام
ewa,وا
fchkl,فشكل
fchkl,فشكل
gharib,غاريب
sghikkrin,سغيكرين
tfrnisa,تفرنيسا
bz9oul,بزقول
br8och,برهوش
tbznisa,تبزنيسا
t8jaj,تهجاج
9oz9oza7,قوزقوزاح
3zwa,عزوا
Saa7a,صاحا
mwrre9,مورق
3wachr,عواشر
naDi,ناضي
8nnina,هنينا
fog chchb3a,فوڭ ششبعا
dyal lmchkhara,ديال لمشخارا
chchann TTann,ششان طان
ml3ouba,ملعوبا
n7ila,نحيلا
8rrbo lia,هربو ليا
Dbber 3la,ضبر علا
khrrej 3inih,خرج عينيح
jb8a,جبها
snTi7a,سنطيحا
mrigl,مريڭل
blan,بلان
wakwakk,واكواك
makat9chcherch,ماكاتقششرش
khdama lia,خداما ليا
ifri9ia,يفريقيا
mghrib,مغريب
mrrakch,مراكش
rbaT,رباط
kaza,كازا
Tanja,طانجا
ssa3oudia,ساعوديا
9atar,قاتار
imarat,يمارات
dzair,دزاير
fransa,فرانسا
Sbania,صبانيا
brT9iz,برطقيز
bortoghal,بورتوغال
almania,المانيا
swisra,سويسرا
mirikan,مريكان
ngliz,نڭليز
bljika,بلجيكا
talyan,تاليان
misr,ميسر
touns,تونس
moritania,موريتانيا
jam3lfna,جامعلفنا
blasa,بلاسا
khariTa,خاريطا
l3alam,لعالام
sbiTar,سبيطار
filistin,فيليستين
fransawia,فرانساويا
sblyonia,سبليونيا
boSTa,بوصطا
mn,من
lkharij,لخاريج
maTar,ماطار
faDa2,فاضاأ
mrrikh,مريخ
9amar,قامار
3onwan,عونوان
mirikani,ميريكاني
finmma,فينما
llor,لور
gddam,ڭدام
mkhbaza,مخبازا
t7t,تحت
7odoud,حودود
chinwa,شينوا
chinwi,شينوي
3rbi,عربي
younan,يونان
blad,بلاد
dawla,داولا
frmasian,فرماسيان
mdina,مدينا
firma,فيرما
chr9,شرق
ghrb,غرب
chamal,شامال
janoub,جانوب
mnTa9a,منطاقا
3aSima,عاصيما
kawkab,كاوكاب
ma7TTa,ماحطا
7anout,حانوت
9aarra,قارا
chari3,شاريع
Tri9,طريق
lotorot,لوتوروت
saa7a,ساحا
9hwa,قحوا
borj,بورج
mktaba,مكتابا
otil,وتيل
klinik,كلينيك
tritwar,تريتوار
ttija8,تيجاه
limn,ليمن
lisr,ليسر
masafa,ماسافا
misa7a,ميساحا
sifara,سيفارا
malek,
